id,current,real_power,reactive_power,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
1,121.802948022045,102.08834426267,-74.9969485869353,0.0083,0.028,0.129,0,0,0,0,0,-360,360
2,96.9138080613903,97.7729257307166,4.63962708568995,0.0298,0.085,0.0818,0,0,0,0,0,-360,360
3,61.6911635768772,60.2128019008899,8.17927048907336,0.0112,0.0366,0.038,0,0,0,0,0,-360,360
4,14.7767289744331,13.798443462261,4.43190013080549,0.0625,0.132,0.0258,0,0,0,0,0,-360,360
5,15.3401323600865,14.1568687092683,5.09350554963609,0.043,0.148,0.0348,0,0,0,0,0,-360,360
6,18.225215987997,-17.7786160079086,1.71050698310085,0.02,0.102,0.0276,0,0,0,0,0,-360,360
7,43.8830516977086,-42.5014471301839,6.5643444442172,0.0339,0.173,0.047,0,0,0,0,0,-360,360
8,178.238016506636,178.028666759533,-19.8259038908243,0.0099,0.0505,0.0548,0,0,0,0,0,-360,360
9,19.8900962087493,17.1711296397285,9.22506603619094,0.0369,0.1679,0.044,0,0,0,0,0,-360,360
10,13.3344744468137,12.9030349643119,-2.0685000399012,0.0258,0.0848,0.0218,0,0,0,0,0,-360,360
11,16.3851042834054,2.54894137555341,15.8538027994513,0.0648,0.295,0.0772,0,0,0,0,0,-360,360
12,3.09596663985168,2.31589033907141,1.96012627114716,0.0481,0.158,0.0406,0,0,0,0,0,-360,360
13,25.1517937785525,-10.3546891096644,-22.3374785002361,0.0132,0.0434,0.011,0,0,0,0,0,-360,360
14,50.1956613876027,-48.8920059468301,-4.88963651677878,0.0269,0.0869,0.023,0,0,0,0,0,-360,360
15,146.892751979315,148.985423325999,-33.786781972963,0.0178,0.091,0.0988,0,0,0,0,0,-360,360
16,76.2037959899805,79.2471748268647,0.869779709332228,0.0454,0.206,0.0546,0,0,0,0,0,-360,360
17,89.8324457306494,93.3428090899648,-3.93567667752066,0.0238,0.108,0.0286,0,0,0,0,0,-360,360
18,38.9394751238361,33.7674471131238,18.190517318298,0.0162,0.053,0.0544,0,0,0,0,0,-360,360
