id,current,power,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
1,138.15959445553,126.337400519039+-68.4435648624618i,0.0083,0.028,0.129,0,0,0,0,0,-360,360
2,120.923085651544,121.676073117399+10.5468462752671i,0.0298,0.085,0.0818,0,0,0,0,0,-360,360
3,132.804869902367,128.454628023196+24.7264303963238i,0.0112,0.0366,0.038,0,0,0,0,0,-360,360
4,104.52674601074,97.4176817523103+31.7338657069172i,0.0625,0.132,0.0258,0,0,0,0,0,-360,360
5,0,0,0.0625,0.132,0.0258,0,0,0,0,0,-360,360
6,0,0,0.02,0.102,0.0276,0,0,0,0,0,-360,360
7,0,0,0.02,0.102,0.0276,0,0,0,0,0,-360,360
8,229.130294241626,229.779683930444+-15.1098652133416i,0.0099,0.0505,0.0548,0,0,0,0,0,-360,360
9,29.8731294743109,27.0952817935121+11.0864952118057i,0.0369,0.1679,0.044,0,0,0,0,0,-360,360
10,30.5509231765171,29.8236017444343+2.63641294415349i,0.0369,0.1679,0.044,0,0,0,0,0,-360,360
11,21.3552910790596,11.4260731412802+17.5337899708377i,0.0369,0.1679,0.044,0,0,0,0,0,-360,360
12,20.4091326897785,18.8060999096305+6.80944994334186i,0.0369,0.1679,0.044,0,0,0,0,0,-360,360
13,18.1930627212158,5.16038346935814+-17.0499414309139i,0.0132,0.0434,0.011,0,0,0,0,0,-360,360
14,30.3433945148178,-29.6375344302114+2.08484935238717i,0.0132,0.0434,0.011,0,0,0,0,0,-360,360
15,148.962341266093,151.344873705227+-33.0937198641622i,0.0083,0.028,0.129,0,0,0,0,0,-360,360
16,69.5774853697724,72.3568152311049+0.738593241040164i,0.0083,0.028,0.129,0,0,0,0,0,-360,360
17,83.2141755037232,86.448061949517+-4.04708150717366i,0.0083,0.028,0.129,0,0,0,0,0,-360,360
18,13.4751260927987,-12.1154036709751+5.42120850824486i,0.0112,0.0366,0.038,0,0,0,0,0,-360,360
19,0,0,0,0.555,0,0,0,0,0.97,0,-360,360
20,16.7259107664935,16.3217467212275+-1.5435133975875i,0.0625,0.132,0.0258,0,0,0,0,0,-360,360
21,93.7962557589629,77.6392029529752+47.594612250673i,0.043,0.148,0.0348,0,0,0,0,0,-360,360
22,71.2276089769295,-69.5178278492356+10.5242287379948i,0.0339,0.173,0.047,0,0,0,0,0,-360,360
23,24.3286237884568,-10.4237015392967+21.6165110644504i,0.0258,0.0848,0.0218,0,0,0,0,0,-360,360
24,11.536453188462,5.77146493067451+9.63936664300738i,0.0648,0.295,0.0772,0,0,0,0,0,-360,360
25,58.0528405549809,2.74200365647643+-58.8597991936065i,0.0481,0.158,0.0406,0,0,0,0,0,-360,360
26,27.3472012788353,-27.0198562690376+-6.35618896338328i,0.0481,0.158,0.0406,0,0,0,0,0,-360,360
27,41.9853494296339,-42.0818902896346+-6.72040077182766i,0.0481,0.158,0.0406,0,0,0,0,0,-360,360
28,54.8261283296874,-50.7940522540535+15.8775564790908i,0.0269,0.0869,0.023,0,0,0,0,0,-360,360
29,3.00360235207031,1.87171860967368+-2.34171361141275i,0.0162,0.053,0.0544,0,0,0,0,0,-360,360
30,2.29327107000086,-1.46987109120831+-1.6799154658506i,0,0.555,0,0,0,0,0.97,0,-360,360
31,3.79607875174139,3.78475432213573+0.535334451412557i,0.0302,0.0641,0.0124,0,0,0,0,0,-360,360
32,3.79607875174142,-3.78475432213576+-0.535334451412585i,0.0302,0.0641,0.0124,0,0,0,0,0,-360,360
33,7.43068885845869,4.01343422799894+-6.33376627365291i,0.0139,0.0712,0.0194,0,0,0,0,0,-360,360
34,4.77003198873081,-2.29203207055524+-4.22537357284038i,0.0277,0.1262,0.0328,0,0,0,0,0,-360,360
35,0,0,0,1.182,0,0,0,0,0,0,-360,360
36,7.23407566532737,7.05443295188431+-1.59552021956397i,0.0223,0.0732,0.0188,0,0,0,0,0,-360,360
37,16.8258057252878,-16.7313319700857+-1.74811193568068i,0.0223,0.0732,0.0188,0,0,0,0,0,-360,360
38,17.5493153714753,-16.7313319700858+-1.60243811936735i,0.018,0.0813,0.0216,0,0,0,0,0,-360,360
39,26.9878909208732,-26.5394964455983+-0.320172805548204i,0.0397,0.179,0.0476,0,0,0,0,0,-360,360
40,31.6975648331562,-31.5896144320271+2.67466952301676i,0.0171,0.0547,0.0148,0,0,0,0,0,-360,360
41,71.2276089769297,69.5178278492357+-10.5242287379955i,0.0339,0.173,0.047,0,0,0,0,0,-360,360
42,9.39046691923411,8.09534033836294+-4.45508487317778i,0.0178,0.058,0.0604,0,0,0,0,0,-360,360
43,5.21747240767934,4.37629616526523+-2.47695951787609i,0.283,0.434,0,0,0,0,0,0,-360,360
44,1.7218228959714,-1.51244761447393+0.558333913198644i,0,0.7767,0,0,0,0,1.043,0,-360,360
45,4.48733986268385,3.80789339786503+-1.90724903885582i,0.0736,0.117,0,0,0,0,0,0,-360,360
46,8.29447165326284,6.93537190995017+-3.91124106800409i,0.166,0.256,0.0084,0,0,0,0,0,-360,360
47,8.29447165326291,-6.93537190995024+3.91124106800409i,0.166,0.256,0.0084,0,0,0,0,0,-360,360
48,15.0849619153256,-12.9705084415692+6.6669647638099i,0,1.182,0,0,0,0,1,0,-360,360
49,19.7913947158124,-15.9821794772529+10.8559385144589i,0,1.23,0,0,0,0,1,0,-360,360
50,24.4251893644888,-19.5353697575612+14.0438351488051i,0,0.0473,0,0,0,0,1.043,0,-360,360
51,4.66329226472323,3.43959748191744+-3.04453468879071i,0,0.0473,0,0,0,0,1.043,0,-360,360
52,5.2521017911258,2.91427803806161+-4.21835514572247i,0,1.23,0,0,0,0,1,0,-360,360
53,9.64849787000396,-7.80879446755744+5.81529177249028i,0.0139,0.0712,0.0194,0,0,0,0,0,-360,360
54,10.5196867157534,9.63158455320086+-3.49144515305393i,0.0648,0.295,0.0772,0,0,0,0,0,-360,360
55,9.96571301373733,9.39128981118698+-3.23297487328258i,0,0.0648,0,0,0,0,0.967,0,-360,360
56,12.5462342242277,-12.1809340954453+2.82413054530413i,0,0.0648,0,0,0,0,0.967,0,-360,360
57,19.2608875754962,-19.2983876534532+-2.77914291197495i,0.165,0.254,0,0,0,0,0,0,-360,360
58,32.3846646035994,32.00259851386+-0.79638913824903i,0.0178,0.091,0.0988,0,0,0,0,0,-360,360
59,55.2429579583993,45.4082314354241+-28.5210936874919i,0.0269,0.0869,0.023,0,0,0,0,0,-360,360
60,49.7186621625586,45.4082314354237+-26.7042138425735i,0,0.953,0,0,0,0,0.975,0,-360,360
61,19.8145539585498,15.1377119609132+-13.7677073153712i,0.052,0.078,0.0032,0,0,0,0,0,-360,360
62,6.64601701371043,-1.76919726564248+6.59155889404967i,0.043,0.0537,0.0016,0,0,0,0,0,-360,360
63,8.84033454719978,7.14413300456711+-5.73513503090225i,0.029,0.0366,0,0,0,0,0,0,-360,360
64,14.40259981202,-13.9184663588729+4.86489890817787i,0.0651,0.1009,0.002,0,0,0,0,0,-360,360
65,34.6203408874991,32.2059711044173+-11.3593443708855i,0.0258,0.0848,0.0218,0,0,0,0,0,-360,360
66,48.308901381489,32.9170993883102+-33.9693608031777i,0.0132,0.0434,0.011,0,0,0,0,0,-360,360
67,20.2638243435655,20.5082339295734+-1.58563201930176i,0.461,0.685,0,0,0,0,0,0,-360,360
68,15.3299508495109,15.0161161735007+1.38223219973845i,0.03,0.0466,0,0,0,0,0,0,-360,360
69,7.85575905451111,-5.16295946000216+5.64231049892489i,0.0192,0.0295,0,0,0,0,0,0,-360,360
70,11.851037780935,-9.37885638070782+7.18548454367323i,0,0.749,0,0,0,0,0.955,0,-360,360
71,15.3743534192039,14.1809340954453+-4.80455829203355i,0.0648,0.295,0.0772,0,0,0,0,0,-360,360
72,30.9198264791084,-31.4057649867126+-0.967524956034516i,0.507,0.755,0,0,0,0,0,0,-360,360
73,5.25210179112604,2.90600266609448+-4.2055007346001i,0.0418,0.0587,0,0,0,0,0,0,-360,360
74,6.17893593656706,-5.91009758878482+-0.882955172297822i,0,0.412,0,0,0,0,0,0,-360,360
75,2.66937625117988,-2.07056502359452+-1.54183997726653i,0,0.412,0,0,0,0,0,0,-360,360
76,4.66329226472314,3.43440011747294+-3.03629284308193i,0.0618,0.0954,0,0,0,0,0,0,-360,360
77,3.47944670813049,-3.26559988252706+-0.75329917610554i,0.0289,0.0585,0.002,0,0,0,0,0,-360,360
78,11.5282316884417,-5.82014777057213+10.114885942725i,0.165,0.254,0,0,0,0,0,0,-360,360
79,25.6575350893804,-16.630060573373+19.9504815640939i,0.165,0.254,0,0,0,0,0,0,-360,360
80,20.3673345535656,16.42211075182+-11.3452806896029i,0.0369,0.1679,0.044,0,0,0,0,0,-360,360
