id,connection_strength,time_delay
1,0.5,1.36131172097
2,0.5,1.36131172097
3,0.5,1.3126772988
4,0.5,1.3126772988
5,0.5,1.35351471747
6,0.5,1.35351471747
7,0.5,1.39466395596
8,0.5,1.39466395596
9,0.5,1.29669675676
10,0.5,1.29669675676
11,0.5,1.46347625913
12,0.5,1.46347625913
13,0.5,1.36197962775
14,0.5,1.36197962775
15,0.5,1.38687976369
16,0.5,1.38687976369
17,0.5,1.37901511404
18,0.5,1.37901511404
19,0.5,1.27898734333
20,0.5,1.27898734333
21,0.5,1.29390513455
22,0.5,1.29390513455
23,0.5,1.41080407034
24,0.5,1.41080407034
25,0.5,1.32974378773
26,0.5,1.32974378773
27,0.5,1.51534523586
28,0.5,1.51534523586
29,0.5,1.40438730578
30,0.5,1.40438730578
31,0.5,1.37854356885
32,0.5,1.37854356885
33,0.5,1.50125839239
34,0.5,1.50125839239
35,0.5,1.32639232528
36,0.5,1.32639232528
37,0.5,1.27682909856
38,0.5,1.27682909856
39,0.5,1.2828401417
40,0.5,1.2828401417
41,0.5,1.33320479917
42,0.5,1.33320479917
43,0.5,1.51626754185
44,0.5,1.51626754185
45,0.5,1.44204596706
46,0.5,1.44204596706
47,0.5,1.34692369236
48,0.5,1.34692369236
49,0.5,1.30702370826
50,0.5,1.30702370826
51,0.5,1.43239826191
52,0.5,1.43239826191
53,0.5,1.79994216785
54,0.5,1.79994216785
55,0.5,1.6946806784
56,0.5,1.6946806784
57,0.5,1.21533353714
58,0.5,1.21533353714
59,0.5,1.65232763821
60,0.5,1.65232763821
61,0.5,1.26492251237
62,0.5,1.26492251237
63,0.5,1.3079311777
64,0.5,1.3079311777
65,0.5,1.45166070384
66,0.5,1.45166070384
67,0.5,1.42009144154
68,0.5,1.42009144154
69,0.5,1.31458343027
70,0.5,1.31458343027
71,0.5,1.24265881618
72,0.5,1.24265881618
73,0.5,1.90269461861
74,0.5,1.90269461861
75,0.5,1.35025695839
76,0.5,1.35025695839
77,0.5,1.30071863668
78,0.5,1.30071863668
79,0.5,1.26647417515
80,0.5,1.26647417515
81,0.5,1.34736375135
82,0.5,1.34736375135
83,0.5,1.37875456082
84,0.5,1.37875456082
85,0.5,1.31560912592
86,0.5,1.31560912592
87,0.5,1.58801567523
88,0.5,1.58801567523
89,0.5,1.34561757195
90,0.5,1.34561757195
91,0.5,1.37488921087
92,0.5,1.37488921087
93,0.5,1.55675747213
94,0.5,1.55675747213
95,0.5,1.24549708427
96,0.5,1.24549708427
97,0.5,1.27703890578
