time,feature,component,id,parameter,value
2,topology,link,25,status,0
3,topology,link,109,status,0
4,topology,link,35,status,0
5,topology,link,65,status,0
6,topology,link,28,status,0
7,topology,link,23,status,0
8,topology,link,55,status,0
9,topology,link,43,status,0
10,topology,link,13,status,0
11,topology,link,38,status,0
12,topology,link,103,status,0
13,topology,link,110,status,0
14,topology,link,3,status,0
15,topology,link,40,status,0
16,topology,link,64,status,0
17,topology,link,9,status,0
18,topology,link,30,status,0
19,topology,link,44,status,0
20,topology,link,83,status,0
21,topology,link,32,status,0
22,topology,link,72,status,0
23,topology,link,79,status,0
24,topology,link,46,status,0
25,topology,link,22,status,0
26,topology,link,7,status,0
27,topology,link,116,status,0
28,topology,link,16,status,0
29,topology,link,93,status,0
30,topology,link,15,status,0
31,topology,link,56,status,0
32,topology,link,85,status,0
33,topology,link,88,status,0
34,topology,link,75,status,0
35,topology,link,100,status,0
36,topology,link,50,status,0
37,topology,link,19,status,0
38,topology,link,102,status,0
39,topology,link,104,status,0
40,topology,link,41,status,0
41,topology,link,39,status,0
42,topology,link,31,status,0
43,topology,link,21,status,0
44,topology,link,6,status,0
45,topology,link,95,status,0
46,topology,link,45,status,0
47,topology,link,112,status,0
48,topology,link,20,status,0
49,topology,link,27,status,0
50,topology,link,34,status,0
51,topology,link,118,status,0
52,topology,link,114,status,0
53,topology,link,101,status,0
54,topology,link,108,status,0
55,topology,link,71,status,0
56,topology,link,98,status,0
57,topology,link,52,status,0
58,topology,link,4,status,0
59,topology,link,48,status,0
60,topology,link,76,status,0
61,topology,link,92,status,0
62,topology,link,99,status,0
63,topology,link,29,status,0
64,topology,link,73,status,0
65,topology,link,106,status,0
66,topology,link,10,status,0
67,topology,link,8,status,0
68,topology,link,58,status,0
69,topology,link,74,status,0
70,topology,link,37,status,0
71,topology,link,62,status,0
72,topology,link,33,status,0
73,topology,link,77,status,0
74,topology,link,111,status,0
75,topology,link,68,status,0
76,topology,link,96,status,0
77,topology,link,5,status,0
78,topology,link,12,status,0
79,topology,link,87,status,0
80,topology,link,51,status,0
81,topology,link,97,status,0
82,topology,link,61,status,0
83,topology,link,81,status,0
84,topology,link,90,status,0
85,topology,link,84,status,0
86,topology,link,63,status,0
87,topology,link,42,status,0
88,topology,link,18,status,0
89,topology,link,107,status,0
90,topology,link,113,status,0
91,topology,link,26,status,0
92,topology,link,86,status,0
93,topology,link,14,status,0
94,topology,link,117,status,0
95,topology,link,47,status,0
96,topology,link,60,status,0
97,topology,link,2,status,0
98,topology,link,53,status,0
99,topology,link,54,status,0
100,topology,link,1,status,0
101,topology,link,17,status,0
102,topology,link,94,status,0
103,topology,link,57,status,0
104,topology,link,78,status,0
105,topology,link,36,status,0
106,topology,link,91,status,0
107,topology,link,69,status,0
108,topology,link,89,status,0
109,topology,link,59,status,0
110,topology,link,49,status,0
111,topology,link,82,status,0
112,topology,link,67,status,0
113,topology,link,105,status,0
114,topology,link,70,status,0
115,topology,link,66,status,0
116,topology,link,11,status,0
117,topology,link,115,status,0
118,topology,link,24,status,0
119,topology,link,80,status,0
